Bubble Sort Results (In Seconds),,,,,,,
Quick Sort Results (In Seconds),,,,,,,
,10,100,1000,10000,25000,50000,100000
Test 1,0.0000154,0.0000387,0.000389,0.0057769,0.0018617,0.0035659,0.0092205
Test 2,0.0000026,0.0000282,0.0000914,0.0008066,0.0018737,0.0044529,0.0092201
Test 3,0.0000036,0.0000111,0.0000722,0.0010575,0.0019915,0.0044528,0.0086558
Test 4,0.0000022,0.0000067,0.0000662,0.0008418,0.0019651,0.0043463,0.0081426
Test 5,0.0000023,0.000009,0.0000945,0.0015367,0.0025962,0.0046565,0.0082719
Test 6,0.0000025,0.0000127,0.0000852,0.0008151,0.0019113,0.0045321,0.0088505
Test 7,0.0000009,0.0000066,0.0000669,0.0008289,0.002093,0.0047486,0.0093167
Test 8,0.0000008,0.000008,0.0000831,0.000801,0.0019648,0.0042685,0.0097709
Test 9,0.0000008,0.0000089,0.000068,0.0007877,0.0018567,0.0042424,0.0087096
Test 10,0.000001,0.0000072,0.0000679,0.0009972,0.0020518,0.0048234,0.0097421
Averages ,0.0000017,0.00000339,0.00000679,0.00001697,0.00016966,0.00169659,0.01696589
,,,,,,,
Java Arrays Sort Results (In Seconds),,,,,,,
,10,100,1000,10000,25000,50000,100000
Test 1,0.0007426,0.0000815,0.0004508,0.0093436,0.00229,0.0061672,0.0090455
Test 2,0.000022,0.0000182,0.0002095,0.0005627,0.0012746,0.0024916,0.0042003
Test 3,0.0000085,0.0000303,0.0000626,0.0006204,0.001328,0.0024257,0.004449
Test 4,0.0000058,0.0000094,0.000045,0.0005361,0.0011897,0.0024913,0.0049673
Test 5,0.0000051,0.0000137,0.0000708,0.0008108,0.0013564,0.0022951,0.0048279
Test 6,0.0000051,0.0000276,0.0000897,0.0005262,0.0012847,0.0030109,0.004322
Test 7,0.0000067,0.0000214,0.0000441,0.0005032,0.0017152,0.0023654,0.0042034
Test 8,0.0000063,0.0000207,0.0000733,0.0006178,0.0013208,0.0024731,0.0042674
Test 9,0.0000059,0.00001,0.0000498,0.000632,0.0012635,0.0027226,0.0040612
Test 10,0.0000049,0.0000155,0.0000551,0.0005446,0.0012676,0.0024444,0.0041862
Averages ,0.00000109,0.00000217,0.00000434,0.00001086,0.00010862,0.00108617,0.01086173
